플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_24,Column_25,Column_26-T,Column_27,Column_28
인천기지본부,2공장 SMV,000000000014066778,,,,12312,*,C,1000,0.9977756388027312,0.997516679375496,0.9980076210458423,0.002224361197268765,0.001992378954157714,0.0024833206245039596,449067.08849868464,402186.4173666194,501412.383076224,0.00000222188546958202,0.0000022268387633197224,결빙(Icing),1.6286644951140066,0.00000003626773230162414,5,C,89.9138206192148,2817
인천기지본부,2공장 SMV,000000000014066779,,,,12312,*,C,5000,0.9889275619068044,0.9876449127373431,0.9900777219579824,0.01107243809319558,0.009922278042017618,0.012355087262656883,,,,0.0000022021822289693366,0.0000022268387633197224,경보(Alarm)/차압발생,3.257328990228013,0.00000007253546460324829,10,F,10.08617938078519,316
통영기지본부,2공장 기화해수펌프,000000000024010707,,,,47352,*,C,10000,0.9779777226989366,0.9754424736559542,0.9802538955175077,0.02202227730106343,0.019746104482492255,0.024557526344045844,,,,0.0000021777987025691383,0.0000022268387633197224,고착 (Stick),1.9543973941368078,0.000000043521278761948976,6,,,
평택기지본부,1공장 2차펌프,000000000032100016,,,,52536,*,C,50000,0.8946327875274735,0.8830967992396074,0.9050923293837632,0.10536721247252645,0.09490767061623684,0.11690320076039262,,,,0.0000019922029702029556,0.000002226838763319723,균열/파손/소손/절단,3.257328990228013,0.00000007253546460324829,10,,,
평택기지본부,1공장 2차펌프,000000000032100025,,,,96048,*,C,100000,0.8003678245191778,0.7798599568272395,0.8191921247093263,0.19963217548082224,0.18080787529067366,0.22014004317276048,,,,0.0000017822900965531825,0.0000022268387633197224,내부 LEAK,0.9771986970684039,0.000000021760639380974488,3,,,
평택기지본부,1공장 2차펌프,000000000032100031,,,,92400,*,C,,,,,,,,,,,,,변형/변색/부식 ,0.6514657980456026,0.000000014507092920649658,2,,,
평택기지본부,1공장 2차펌프,000000000032100034,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,73738,335,F,,,,,,,,,,,,,설치불량/미설치 ,0.3257328990228013,0.000000007253546460324829,1,,,
평택기지본부,1공장 2차펌프,000000000032100034,오동작/계기불량/작동불량,설정값불량/점검불량,부품/자재 교체,4837,211,F,,,,,,,,,,,,,오동작/계기불량/작동불량,64.82084690553746,0.000001443455745604641,199,,,
평택기지본부,1공장 2차펌프,000000000032100034,,,,13464,*,C,,,,,,,,,,,,,외부 LEAK,3.257328990228013,0.00000007253546460324829,10,,,
평택기지본부,1공장 2차펌프,000000000032100035,,,,47904,*,C,,,,,,,,,,,,,이물질/오염,0.9771986970684039,0.000000021760639380974488,3,,,
