플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_24,Column_25,Column_26-T,Column_27,Column_28
평택기지본부,1공장 2차펌프,000000000014003685,,,,13584,*,C,1000,0.9966461948156252,0.991089015794991,0.9987399360513726,0.0033538051843747807,0.0012600639486274323,0.00891098420500902,297668.4999920957,111720.30363954767,793110.4105608482,0.000003348174881931038,0.000003359441795240521,고착 (Stick),25,0.0000008398604488101303,1,C,86.20689655172414,25
평택기지본부,1공장 2차펌프,000000000014003700,,,,3312,*,C,5000,0.9833430775661217,0.9562320910160721,0.993715537874205,0.016656922433878285,0.006284462125795032,0.043767908983927906,,,,0.000003303483833836071,0.000003359441795240521,접점불량/스파크발생 ,25,0.0000008398604488101303,1,F,13.793103448275861,4
평택기지본부,1공장 2차펌프,000000000014003702,,,,43800,*,C,10000,0.9669636081972116,0.9143798118889696,0.9874705702126205,0.03303639180278839,0.012529429787379476,0.08562018811103045,,,,0.0000032484579598542924,0.000003359441795240521,정지(Trip)/기동불량/전원불량,25,0.0000008398604488101303,1,,,
평택기지본부,1공장 SMV,000000000014010344,,,,12144,*,C,50000,0.8453774290406173,0.6391946696505365,0.9389031705590904,0.1546225709593827,0.06109682944090955,0.3608053303494635,,,,0.000002839996267872028,0.0000033594417952405214,진동/소음,25,0.0000008398604488101303,1,,,
평택기지본부,2부두,000000000014012252,,,,7440,*,C,100000,0.714662997531324,0.4085698257096584,0.8815391636859126,0.285337002468676,0.11846083631408744,0.5914301742903416,,,,0.000002400868743418604,0.0000033594417952405223,,,,,,,
평택기지본부,1공장 ORV,000000000014012452,,,,38808,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012460,정지(Trip)/기동불량/전원불량,이완/밀봉/고정 불량,밀봉/조임 작업,21175,28,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012460,,,,22536,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012462,,,,38496,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014023502,,,,92496,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014023504,,,,92496,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000014023612,,,,92496,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000014023613,,,,92496,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000014027177,,,,76440,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000014027178,,,,76440,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 Drain 설비,000000000014051814,,,,47208,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014051830,,,,47208,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014051831,,,,47208,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014051832,,,,47208,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014051833,,,,47208,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014051834,,,,47208,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014051888,,,,47208,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000014051950,진동/소음,직접입력,시운전 ,25093,452,F,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000014051950,,,,21648,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000014051951,접점불량/스파크발생 ,장기미사용 ,청소/윤활/코팅 작업,32743,414,F,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000014051951,,,,14088,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000022100773,,,,3408,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000022100785,고착 (Stick),노후/장기사용,청소/윤활/코팅 작업,24583,225,F,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000022100785,,,,14496,*,C,,,,,,,,,,,,,,,,,,,
