플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그
평택기지본부,공통 계량설비,000000000014002813,,,,50184,,C
평택기지본부,공통 계량설비,000000000014002890,,,,47760,,C
평택기지본부,공통 계량설비,000000000014002907,,,,47760,,C
평택기지본부,공통 계량설비,000000000014002908,,,,47760,,C
평택기지본부,공통 계량설비,000000000014002915,,,,47760,,C
평택기지본부,공통 계량설비,000000000014002971,,,,50184,,C
평택기지본부,공통 계량설비,000000000014002975,,,,50184,,C
평택기지본부,공통 계량설비,000000000014002976,,,,50184,,C
평택기지본부,공통 계량설비,000000000014002977,,,,50184,,C
평택기지본부,공통 계량설비,000000000014002978,,,,50184,,C
평택기지본부,공통 계량설비,000000000014002979,,,,50184,,C
평택기지본부,2공장 2차펌프,000000000014003239,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014003240,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014003241,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014003242,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014003243,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014003244,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014003245,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014003246,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014003247,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014003248,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014003249,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014003250,,,,92568,,C
평택기지본부,2공장 2차펌프,000000000014006641,,,,92544,,C
평택기지본부,저장부문 15탱크,000000000014023151,,,,83088,,C
평택기지본부,저장부문 15탱크,000000000014023152,,,,83088,,C
평택기지본부,저장부문 15탱크,000000000014023153,,,,83088,,C
평택기지본부,저장부문 15탱크,000000000014023154,,,,83088,,C
평택기지본부,저장부문 15탱크,000000000014023155,,,,83088,,C
평택기지본부,저장부문 15탱크,000000000014023156,,,,83088,,C
평택기지본부,저장부문 15탱크,000000000014023157,,,,83088,,C
평택기지본부,저장부문 15탱크,000000000014023158,,,,83088,,C
평택기지본부,저장부문 15탱크,000000000014023159,,,,83088,,C
평택기지본부,저장부문 16탱크,000000000014023177,,,,83856,,C
평택기지본부,저장부문 16탱크,000000000014023178,,,,83856,,C
평택기지본부,저장부문 16탱크,000000000014023179,,,,83856,,C
평택기지본부,저장부문 16탱크,000000000014023180,,,,83856,,C
평택기지본부,저장부문 16탱크,000000000014023181,,,,83856,,C
평택기지본부,저장부문 16탱크,000000000014023182,,,,83856,,C
평택기지본부,저장부문 16탱크,000000000014023183,,,,83856,,C
평택기지본부,저장부문 16탱크,000000000014023184,,,,83856,,C
평택기지본부,저장부문 16탱크,000000000014023185,,,,83856,,C
평택기지본부,저장부문 17탱크,000000000014023196,,,,84120,,C
평택기지본부,저장부문 17탱크,000000000014023197,,,,84120,,C
평택기지본부,저장부문 17탱크,000000000014023198,,,,84120,,C
평택기지본부,저장부문 17탱크,000000000014023199,,,,84120,,C
평택기지본부,저장부문 17탱크,000000000014023200,,,,84120,,C
평택기지본부,저장부문 17탱크,000000000014023201,,,,84120,,C
평택기지본부,저장부문 17탱크,000000000014023202,,,,84120,,C
평택기지본부,저장부문 17탱크,000000000014023203,,,,84120,,C
평택기지본부,저장부문 17탱크,000000000014023204,,,,84120,,C
평택기지본부,저장부문 18탱크,000000000014023218,,,,78984,,C
평택기지본부,저장부문 18탱크,000000000014023219,,,,78984,,C
평택기지본부,저장부문 18탱크,000000000014023220,,,,78984,,C
