플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
평택기지본부,2공장 SMV,000000000034022411,,,,47304,,C,1000,*,0.9386342696620337,*,*,*,0.06136573033796633,*,15790.463125692095,*,0.000059443112098138226,0.00006332936482229807
,,,,,,,,,5000,*,0.7285880294161359,*,*,*,0.2714119705838641,,,,0.00004614101712005371,0.00006332936482229808
,,,,,,,,,10000,*,0.5308405166084882,*,*,*,0.4691594833915118,,,,0.00003361779273875613,0.00006332936482229808
,,,,,,,,,50000,*,0.042152206754391464,*,*,*,0.9578477932456085,,,,0.000002669472479613795,0.00006332936482229809
,,,,,,,,,100000,*,0.0017768085342649842,*,*,*,0.998223191465735,,,,0.00000011252415588583878,0.00006332936482229746
