플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_25
인천기지본부,2공장 해수취수설비,000000000014066734,,,,12264,*,C,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000014066795,,,,3480,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022100714,,,,75480,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022100715,,,,54648,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022100716,,,,37872,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022100718,정지(Trip)/기동불량/전원불량,이물질 ,부품/자재 교체,5605,115,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022100718,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,30286,82,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022100718,,,,36768,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022100719,,,,39744,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022100720,,,,19464,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022100721,경보(Alarm)/차압발생,단선/단락/오결선 ,교정/조정/재설정 작업,38782,34,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022100721,,,,46632,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022101079,,,,50712,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022101085,,,,71520,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022101086,이완/풀림/탈락,이완/밀봉/고정 불량,부품/자재 교체,37424,8,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022101086,,,,22104,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022101088,,,,46464,*,C,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101090,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,24755,797,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101090,,,,65616,*,C,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101091,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,12785,2559,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101091,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,9807,1367,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101091,오동작/계기불량/작동불량,노후/장기사용,교정/조정/재설정 작업,18451,185,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101091,핀홀(Pinhole),부식 ,밀봉/조임 작업,25140,22,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101091,,,,24840,*,C,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101092,핀홀(Pinhole),부식 ,직접입력,81753,574,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101092,내부 LEAK,노후/장기사용,부품/자재 교체,1022,119,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101092,,,,12576,*,C,,,,,,,,,,,,,,,
