플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그
평택기지본부,공통 비상발전설비,000000000012100003,,,,60948,,F
평택기지본부,공통 비상발전설비,000000000012100003,,,,7152,,C
평택기지본부,1공장 질소설비,000000000012100026,,,,71016,,C
평택기지본부,1공장 ORV,000000000012100036,변형/변색/부식 ,부식 ,도색/방청 작업,49480,1792,F
평택기지본부,1공장 ORV,000000000012100036,,,,24672,,C
평택기지본부,1공장 ORV,000000000012100038,균열/파손/소손/절단,이완/밀봉/고정 불량,부품/자재 교체,3231,168,F
평택기지본부,1공장 ORV,000000000012100038,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,3786,764,F
평택기지본부,1공장 ORV,000000000012100038,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,27660,164,F
평택기지본부,1공장 ORV,000000000012100038,균열/파손/소손/절단,,,14648,,F
평택기지본부,1공장 ORV,000000000012100038,,,,44280,,C
평택기지본부,1공장 ORV,000000000012100039,오동작/계기불량/작동불량,직접입력,직접입력,4460,53,F
평택기지본부,1공장 ORV,000000000012100039,이물질/오염,이물질 ,청소/윤활/코팅 작업,7220,4720,F
평택기지본부,1공장 ORV,000000000012100039,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,40715,141,F
평택기지본부,1공장 ORV,000000000012100039,균열/파손/소손/절단,마모(Wear out),밀봉/조임 작업,34401,28,F
평택기지본부,1공장 ORV,000000000012100039,직접입력,,,9246,,F
평택기지본부,1공장 ORV,000000000012100039,,,,1992,,C
평택기지본부,1공장 ORV,000000000012100040,오동작/계기불량/작동불량,S/W 오류,교정/조정/재설정 작업,627,,F
평택기지본부,1공장 ORV,000000000012100040,,,,98878,,C
평택기지본부,1공장 ORV,000000000012100041,오동작/계기불량/작동불량,이완/밀봉/고정 불량,밀봉/조임 작업,20552,177,F
평택기지본부,1공장 ORV,000000000012100041,변형/변색/부식 ,온도변화/열팽창 ,교정/조정/재설정 작업,2051,502,F
평택기지본부,1공장 ORV,000000000012100041,이완/풀림/탈락,노후/장기사용,재설치 ,6755,,F
평택기지본부,1공장 ORV,000000000012100041,외부 LEAK,직접입력,,18007,,F
평택기지본부,1공장 ORV,000000000012100041,정지(Trip)/기동불량/전원불량,노후/장기사용,부품/자재 교체,25891,284,F
평택기지본부,1공장 ORV,000000000012100041,이완/풀림/탈락,이완/밀봉/고정 불량,직접입력,2560,5712,F
평택기지본부,1공장 ORV,000000000012100041,,,,15168,,C
평택기지본부,1공장 ORV,000000000012100042,,,,96847,,C
평택기지본부,1공장 ORV,000000000012100043,오동작/계기불량/작동불량,부식 ,,22243,,F
평택기지본부,1공장 ORV,000000000012100043,고착 (Stick),직접입력,,16,,F
평택기지본부,1공장 ORV,000000000012100043,,,,4286,,F
평택기지본부,1공장 ORV,000000000012100043,,,,38496,,C
평택기지본부,1공장 ORV,000000000012100044,변형/변색/부식 ,과부하 (Over Load),교정/조정/재설정 작업,23047,955,F
평택기지본부,1공장 ORV,000000000012100044,,,,74472,,C
평택기지본부,1공장 ORV,000000000012100045,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,7984,184,F
평택기지본부,1공장 ORV,000000000012100045,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,26122,150,F
평택기지본부,1공장 ORV,000000000012100045,외부 LEAK,장기미사용 ,밀봉/조임 작업,17431,31,F
평택기지본부,1공장 ORV,000000000012100045,오동작/계기불량/작동불량,동파(Freezing),청소/윤활/코팅 작업,1592,289,F
평택기지본부,1공장 ORV,000000000012100045,,,,20256,,C
평택기지본부,1공장 ORV,000000000012100046,내부 LEAK,직접입력,직접입력,18319,433,F
평택기지본부,1공장 ORV,000000000012100046,오동작/계기불량/작동불량,이완/밀봉/고정 불량,밀봉/조임 작업,5108,180,F
평택기지본부,1공장 ORV,000000000012100046,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,16315,210,F
평택기지본부,1공장 ORV,000000000012100046,,,,49104,,C
평택기지본부,1공장 ORV,000000000012100047,오동작/계기불량/작동불량,직접입력,직접입력,2983,433,F
평택기지본부,1공장 ORV,000000000012100047,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,6280,1727,F
평택기지본부,1공장 ORV,000000000012100047,외부 LEAK,이완/밀봉/고정 불량,부품/자재 교체,5936,1425,F
평택기지본부,1공장 ORV,000000000012100047,오동작/계기불량/작동불량,노후/장기사용,청소/윤활/코팅 작업,30930,67,F
평택기지본부,1공장 ORV,000000000012100047,결빙(Icing),,,23023,,F
평택기지본부,1공장 ORV,000000000012100047,,,,3984,,C
평택기지본부,공통 비상발전설비,000000000012100052,이완/풀림/탈락,노후/장기사용,부품/자재 교체,59365,188,F
평택기지본부,공통 비상발전설비,000000000012100052,,,,22896,,C
평택기지본부,1공장 기화해수펌프,000000000012100215,,,,24168,,C
평택기지본부,1공장 기화해수펌프,000000000012100216,,,,19056,,C
평택기지본부,1공장 기화해수펌프,000000000012100220,변형/변색/부식 ,노후/장기사용,교정/조정/재설정 작업,15775,609,F
평택기지본부,1공장 기화해수펌프,000000000012100220,,,,17952,,C
