플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그
경기지역본부,안중GS,000000000013000000,,,,98483,,C
경기지역본부,안중GS,000000000013000001,,,,39192,,C
경기지역본부,발안GS,000000000013000002,,,,35400,,C
경기지역본부,발안GS,000000000013000003,이완/풀림/탈락,이완/밀봉/고정 불량,밀봉/조임 작업,28530,38,F
경기지역본부,발안GS,000000000013000003,,,,39864,,C
경기지역본부,반월GS,000000000013000004,,,,59232,,C
경기지역본부,반월GS,000000000013000005,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,1459,18,F
경기지역본부,반월GS,000000000013000005,,,,90552,,C
경기지역본부,반월GS,000000000013000007,,,,62232,,C
인천지역본부,운연GS,000000000013000011,,,,54072,,C
인천지역본부,가좌GS,000000000013000016,,,,39912,,C
경기지역본부,석수GS,000000000013000025,설치불량/미설치 ,노후/장기사용,재설치 ,11918,4703,F
경기지역본부,석수GS,000000000013000025,,,,78720,,C
경기지역본부,평택GS,000000000013000027,,,,36936,,C
경기지역본부,평택GS,000000000013000028,,,,36936,,C
경기지역본부,오산GS,000000000013000030,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,7980,195,F
경기지역본부,오산GS,000000000013000030,,,,70872,,C
경기지역본부,분당GS,000000000013000035,,,,98316,,C
경기지역본부,분당GS,000000000013000037,,,,70872,,C
경기지역본부,평촌GS,000000000013000038,이완/풀림/탈락,온도변화/열팽창 ,밀봉/조임 작업,62915,100,F
경기지역본부,평촌GS,000000000013000038,,,,11904,,C
경기지역본부,평촌GS,000000000013000039,,,,63048,,C
인천지역본부,남동GS,000000000013000041,,,,18960,,C
서울지역본부,고척GS,000000000013000058,균열/파손/소손/절단,노후/장기사용,부품/자재 교체,45136,165,F
서울지역본부,고척GS,000000000013000058,,,,45288,,C
서울지역본부,방배GS,000000000013000060,,,,68640,,C
서울지역본부,방배GS,000000000013000061,,,,83280,,C
서울지역본부,군자GS,000000000013000066,이물질/오염,이물질 ,분해점검,9264,5,F
서울지역본부,군자GS,000000000013000066,,,,88392,,C
서울지역본부,상계GS,000000000013000069,오동작/계기불량/작동불량,직접입력,직접입력,17197,99,F
서울지역본부,상계GS,000000000013000069,,,,27960,,C
서울지역본부,합정GS,000000000013000076,이물질/오염,이물질 ,분해점검,15713,26,F
서울지역본부,합정GS,000000000013000076,외부 LEAK,노후/장기사용,밀봉/조임 작업,33589,,F
서울지역본부,합정GS,000000000013000076,,,,47136,,C
서울지역본부,방화GS,000000000013000080,외부 LEAK,직접입력,밀봉/조임 작업,1986,,F
서울지역본부,방화GS,000000000013000080,외부 LEAK,마모(Wear out),부품/자재 교체,4104,4,F
서울지역본부,방화GS,000000000013000080,외부 LEAK,부품/자재 불량,분해점검,16739,189,F
서울지역본부,방화GS,000000000013000080,,,,76032,,C
서울지역본부,방화GS,000000000013000082,,,,3072,,C
서울지역본부,일산GS,000000000013000085,,,,70368,,C
서울지역본부,일산GS,000000000013000086,직접입력,노후/장기사용,부품/자재 교체,8054,313,F
서울지역본부,일산GS,000000000013000086,,,,70680,,C
서울지역본부,의정부GS,000000000013000092,,,,94392,,C
서울지역본부,남양주GS,000000000013000093,,,,84576,,C
서울지역본부,남양주GS,000000000013000094,외부 LEAK,이완/밀봉/고정 불량,부품/자재 교체,10215,146,F
서울지역본부,남양주GS,000000000013000094,,,,74040,,C
대전충청지역본부,천안GS,000000000013000099,,,,49680,,C
대전충청지역본부,조치원GS,000000000013000102,,,,99179,,C
대전충청지역본부,조치원GS,000000000013000103,,,,54504,,C
대전충청지역본부,조치원GS,000000000013000104,,,,91320,,C
대전충청지역본부,중촌GS,000000000013000105,,,,78480,,C
대전충청지역본부,청주GS,000000000013000107,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,55765,3,F
대전충청지역본부,청주GS,000000000013000107,,,,36912,,C
대전충청지역본부,청주GS,000000000013000109,,,,55848,,C
대전충청지역본부,방동GS,000000000013000110,,,,58344,,C
대전충청지역본부,방동GS,000000000013000111,,,,88008,,C
대전충청지역본부,계룡GS,000000000013000112,,,,1968,,C
전북지역본부,논산GS,000000000013000116,,,,62928,,C
대전충청지역본부,계룡MS,000000000013000117,,,,90768,,C
광주전남지역본부,하남GS,000000000013000119,,,,71688,,C
광주전남지역본부,목포GS,000000000013000126,,,,48768,,C
광주전남지역본부,장등GS,000000000013000128,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,40474,79,F
광주전남지역본부,장등GS,000000000013000128,,,,11880,,C
부산경남지역본부,진장GS,000000000013000137,,,,71616,,C
부산경남지역본부,울산GS,000000000013000141,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,4545,25,F
부산경남지역본부,울산GS,000000000013000141,,,,6816,,C
부산경남지역본부,울산GS,000000000013000142,,,,2496,,C
부산경남지역본부,양산GS,000000000013000145,외부 LEAK,노후/장기사용,부품/자재 교체,14553,8,F
부산경남지역본부,양산GS,000000000013000145,외부 LEAK,Unbalance,부품/자재 교체,5415,24,F
부산경남지역본부,양산GS,000000000013000145,외부 LEAK,노후/장기사용,분해점검,8920,23,F
부산경남지역본부,양산GS,000000000013000145,,,,66032,,C
부산경남지역본부,양산GS,000000000013000146,,,,90585,,C
부산경남지역본부,학장GS,000000000013000147,외부 LEAK,부품/자재 불량,부품/자재 교체,17487,29,F
부산경남지역본부,학장GS,000000000013000147,,,,67632,,C
부산경남지역본부,학장GS,000000000013000148,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,417,,F
부산경남지역본부,학장GS,000000000013000148,외부 LEAK,이완/밀봉/고정 불량,부품/자재 교체,16510,130,F
부산경남지역본부,학장GS,000000000013000148,,,,79392,,C
부산경남지역본부,장림GS,000000000013000149,,,,99535,,C
부산경남지역본부,김해GS,000000000013000154,외부 LEAK,이완/밀봉/고정 불량,분해점검,13568,9,F
부산경남지역본부,김해GS,000000000013000154,,,,57744,,C
부산경남지역본부,김해GS,000000000013000155,,,,92136,,C
부산경남지역본부,진영GS,000000000013000156,,,,21432,,C
부산경남지역본부,창원GS,000000000013000158,,,,94368,,C
부산경남지역본부,창원GS,000000000013000159,외부 LEAK,부품/자재 불량,부품/자재 교체,2361,23,F
부산경남지역본부,창원GS,000000000013000159,,,,83280,,C
부산경남지역본부,사천GS,000000000013000160,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,75647,5,F
부산경남지역본부,사천GS,000000000013000160,,,,23880,,C
부산경남지역본부,통영GS,000000000013000164,,,,39288,,C
부산경남지역본부,통영GS,000000000013000165,,,,39288,,C
부산경남지역본부,밀양GS,000000000013000170,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,19577,166,F
부산경남지역본부,밀양GS,000000000013000170,,,,74472,,C
대구경북지역본부,북삼GS,000000000013000172,,,,69792,,C
대구경북지역본부,북삼GS,000000000013000173,,,,69792,,C
대구경북지역본부,관음GS,000000000013000175,,,,67440,,C
대구경북지역본부,금호GS,000000000013000178,,,,10872,,C
대구경북지역본부,금호GS,000000000013000179,,,,66240,,C
대구경북지역본부,안강GS,000000000013000180,,,,79104,,C
대구경북지역본부,포항GS,000000000013000182,,,,51360,,C
대구경북지역본부,포항GS,000000000013000183,,,,96192,,C
대구경북지역본부,용강GS,000000000013000184,,,,73464,,C
강원지역본부,문막GS,000000000013000191,외부 LEAK,마모(Wear out),부품/자재 교체,3929,2,F
강원지역본부,문막GS,000000000013000191,,,,93120,,C
경기지역본부,여주GS,000000000013000194,,,,95040,,C
강원지역본부,춘천GS,000000000013000200,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,454,,F
강원지역본부,춘천GS,000000000013000200,,,,96240,,C
강원지역본부,음성GS,000000000013000203,,,,2616,,C
강원지역본부,음성GS,000000000013000204,,,,26352,,C
강원지역본부,제천GS,000000000013000207,,,,26976,,C
전북지역본부,부곡GS,000000000013000209,,,,66240,,C
전북지역본부,보령GS,000000000013000215,,,,33168,,C
전북지역본부,대천GS,000000000013000217,,,,20304,,C
전북지역본부,익산GS,000000000013000220,,,,9312,,C
전북지역본부,전주GS,000000000013000221,,,,86928,,C
전북지역본부,군산GS,000000000013000223,외부 LEAK,이완/밀봉/고정 불량,분해점검,1766,2205,F
전북지역본부,군산GS,000000000013000223,외부 LEAK,이완/밀봉/고정 불량,부품/자재 교체,25523,25,F
전북지역본부,군산GS,000000000013000223,,,,67776,,C
전북지역본부,군산GS,000000000013000224,,,,53376,,C
전북지역본부,서천GS,000000000013000227,,,,61056,,C
경기지역본부,안중GS,000000000013000679,진동/소음,이완/밀봉/고정 불량,교정/조정/재설정 작업,2960,295,F
경기지역본부,안중GS,000000000013000679,,,,79608,,C
경기지역본부,발안GS,000000000013000682,,,,45456,,C
인천지역본부,가좌GS,000000000013000694,,,,30360,,C
인천지역본부,가좌GS,000000000013000698,,,,9432,,C
경기지역본부,동탄GS,000000000013000733,,,,69264,,C
서울지역본부,대치GS,000000000013000738,진동/소음,노후/장기사용,부품/자재 교체,2845,121,F
서울지역본부,대치GS,000000000013000738,진동/소음,이완/밀봉/고정 불량,부품/자재 교체,8158,17,F
서울지역본부,대치GS,000000000013000738,,,,82992,,C
서울지역본부,대치GS,000000000013000739,,,,81696,,C
서울지역본부,방화GS,000000000013000748,,,,13632,,C
서울지역본부,파주GS,000000000013000755,,,,35736,,C
서울지역본부,남양주GS,000000000013000761,,,,84576,,C
서울지역본부,남양주GS,000000000013000762,,,,84576,,C
대전충청지역본부,조치원GS,000000000013000766,점화/연소불량,노후/장기사용,분해점검,28007,43,F
대전충청지역본부,조치원GS,000000000013000766,,,,29328,,C
대전충청지역본부,조치원GS,000000000013000768,진동/소음,이완/밀봉/고정 불량,재설치 ,294,202,F
대전충청지역본부,조치원GS,000000000013000768,,,,78048,,C
대전충청지역본부,중촌GS,000000000013000770,,,,99491,,C
대전충청지역본부,방동GS,000000000013000774,,,,65784,,C
대전충청지역본부,계룡GS,000000000013000775,,,,41376,,C
대전충청지역본부,계룡GS,000000000013000776,,,,41376,,C
전북지역본부,논산GS,000000000013000777,,,,69216,,C
광주전남지역본부,평동GS,000000000013000781,,,,60408,,C
광주전남지역본부,율촌GS,000000000013000795,,,,61608,,C
부산경남지역본부,학장GS,000000000013000814,,,,74688,,C
부산경남지역본부,장림GS,000000000013000815,,,,79704,,C
부산경남지역본부,김해GS,000000000013000820,점화/연소불량,노후/장기사용,시운전 ,72783,360,F
부산경남지역본부,김해GS,000000000013000820,,,,9144,,C
부산경남지역본부,창원GS,000000000013000824,,,,33672,,C
대구경북지역본부,포항GS,000000000013000844,,,,61392,,C
대구경북지역본부,용강GS,000000000013000846,,,,47304,,C
대구경북지역본부,동김천GS,000000000013000850,,,,98484,,C
강원지역본부,춘천GS,000000000013000861,,,,82464,,C
강원지역본부,충주GS,000000000013000870,,,,45000,,C
전북지역본부,서산GS,000000000013000879,,,,63984,,C
전북지역본부,보령GS,000000000013000882,,,,98979,,C
전북지역본부,보령GS,000000000013000883,정지(Trip)/기동불량/전원불량,동파(Freezing),,67088,,F
전북지역본부,보령GS,000000000013000883,,,,21264,,C
전북지역본부,익산GS,000000000013000891,오동작/계기불량/작동불량,노후/장기사용,재설치 ,36512,125,F
전북지역본부,익산GS,000000000013000891,,,,3336,,C
전북지역본부,전주GS,000000000013000893,,,,31152,,C
전북지역본부,전주GS,000000000013000894,진동/소음,노후/장기사용,이전설치,8218,334,F
전북지역본부,전주GS,000000000013000894,,,,30312,,C
인천지역본부,영종GS,000000000013002059,,,,18888,,C
부산경남지역본부,장림GS,000000000013002111,,,,86784,,C
부산경남지역본부,김해GS,000000000013002112,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,3181,76,F
부산경남지역본부,김해GS,000000000013002112,외부 LEAK,노후/장기사용,부품/자재 교체,1405,19,F
부산경남지역본부,김해GS,000000000013002112,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,6667,43,F
부산경남지역본부,김해GS,000000000013002112,,,,81960,,C
부산경남지역본부,진영GS,000000000013002114,,,,50016,,C
부산경남지역본부,진영GS,000000000013002115,,,,57432,,C
부산경남지역본부,정관GS,000000000013002129,,,,22296,,C
대구경북지역본부,관음GS,000000000013002135,외부 LEAK,이물질 ,분해점검,5375,4,F
대구경북지역본부,관음GS,000000000013002135,,,,92832,,C
대구경북지역본부,관음GS,000000000013002136,외부 LEAK,부품/자재 불량,분해점검,37129,2,F
대구경북지역본부,관음GS,000000000013002136,,,,61680,,C
대구경북지역본부,중리GS,000000000013002137,,,,71688,,C
대구경북지역본부,포항GS,000000000013002140,,,,53976,,C
강원지역본부,음성GS,000000000013002159,,,,13176,,C
강원지역본부,충주GS,000000000013002162,,,,64608,,C
강원지역본부,제천GS,000000000013002165,외부 LEAK,부품/자재 불량,부품/자재 교체,30830,192,F
강원지역본부,제천GS,000000000013002165,,,,14160,,C
전북지역본부,보령GS,000000000013002176,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,64905,126,F
전북지역본부,보령GS,000000000013002176,,,,25104,,C
전북지역본부,전주GS,000000000013002182,,,,30288,,C
전북지역본부,김제GS,000000000013002183,,,,92664,,C
전북지역본부,김제GS,000000000013002184,,,,36384,,C
경기지역본부,안중GS,000000000013002190,오동작/계기불량/작동불량,Unbalance,교정/조정/재설정 작업,7360,24,F
경기지역본부,안중GS,000000000013002190,오동작/계기불량/작동불량,절연/접지 불량,보강/개조/추가설치,1432,472,F
경기지역본부,안중GS,000000000013002190,오동작/계기불량/작동불량,이물질 ,부품/자재 교체,44969,167,F
경기지역본부,안중GS,000000000013002190,,,,39528,,C
경기지역본부,안중GS,000000000013002191,오동작/계기불량/작동불량,Unbalance,교정/조정/재설정 작업,111,169,F
경기지역본부,안중GS,000000000013002191,오동작/계기불량/작동불량,이완/밀봉/고정 불량,부품/자재 교체,3730,149,F
경기지역본부,안중GS,000000000013002191,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,177,79,F
경기지역본부,안중GS,000000000013002191,내부 LEAK,부품/자재 불량,부품/자재 교체,51537,119,F
경기지역본부,안중GS,000000000013002191,,,,30672,,C
경기지역본부,안중GS,000000000013002192,오동작/계기불량/작동불량,이물질 ,분해점검,4888,72,F
경기지역본부,안중GS,000000000013002192,,,,85440,,C
경기지역본부,안중GS,000000000013002194,이완/풀림/탈락,이완/밀봉/고정 불량,,20822,26,F
경기지역본부,안중GS,000000000013002194,,,,61392,,C
경기지역본부,발안GS,000000000013002196,내부 LEAK,마모(Wear out),분해점검,3586,27,F
경기지역본부,발안GS,000000000013002196,오동작/계기불량/작동불량,마모(Wear out),분해점검,8151,71,F
경기지역본부,발안GS,000000000013002196,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,50697,264,F
경기지역본부,발안GS,000000000013002197,오동작/계기불량/작동불량,직접입력,부품/자재 교체,11199,288,F
경기지역본부,발안GS,000000000013002197,결빙(Icing),온도변화/열팽창 ,보강/개조/추가설치,21262,96,F
경기지역본부,반월GS,000000000013002200,,,,90000,,C
경기지역본부,반월GS,000000000013002201,결빙(Icing),노후/장기사용,부품/자재 교체,4210,387,F
경기지역본부,반월GS,000000000013002201,,,,32328,,C
경기지역본부,반월GS,000000000013002202,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,17254,127,F
경기지역본부,반월GS,000000000013002202,,,,81720,,C
경기지역본부,반월GS,000000000013002203,,,,51120,,C
경기지역본부,반월GS,000000000013002204,내부 LEAK,부품/자재 불량,밀봉/조임 작업,17123,333,F
경기지역본부,반월GS,000000000013002204,,,,18710,,F
경기지역본부,반월GS,000000000013002204,,,,51816,,C
경기지역본부,반월GS,000000000013002205,,,,97606,,C
경기지역본부,반월GS,000000000013002206,전송/통신 불량,단선/단락/오결선 ,직접입력,9327,330,F
경기지역본부,반월GS,000000000013002206,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,13146,645,F
경기지역본부,반월GS,000000000013002206,오동작/계기불량/작동불량,부식 ,부품/자재 교체,8241,30,F
경기지역본부,반월GS,000000000013002206,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,21664,312,F
경기지역본부,반월GS,000000000013002206,,,,44592,,C
경기지역본부,목감GS,000000000013002209,오동작/계기불량/작동불량,직접입력,분해점검,1023,73,F
경기지역본부,목감GS,000000000013002209,직접입력,,,13258,,F
경기지역본부,목감GS,000000000013002209,이완/풀림/탈락,이완/밀봉/고정 불량,분해점검,19001,135,F
경기지역본부,목감GS,000000000013002209,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,41554,102,F
경기지역본부,목감GS,000000000013002209,,,,15072,,C
경기지역본부,목감GS,000000000013002210,,,,90600,,C
경기지역본부,목감GS,000000000013002211,직접입력,직접입력,분해점검,2175,26,F
경기지역본부,목감GS,000000000013002211,,,,88416,,C
경기지역본부,목감GS,000000000013002212,외부 LEAK,이완/밀봉/고정 불량,부품/자재 교체,14057,2368,F
경기지역본부,목감GS,000000000013002212,변형/변색/부식 ,이물질 ,부품/자재 교체,10711,25,F
경기지역본부,목감GS,000000000013002212,,,,65808,,C
인천지역본부,운연GS,000000000013002216,,,,25296,,C
인천지역본부,가좌GS,000000000013002223,,,,16560,,C
경기지역본부,석수GS,000000000013002251,전송/통신 불량,S/W 오류,교정/조정/재설정 작업,1982,689,F
경기지역본부,석수GS,000000000013002251,이완/풀림/탈락,노후/장기사용,재설치 ,10787,174,F
경기지역본부,석수GS,000000000013002251,,,,67632,,C
경기지역본부,석수GS,000000000013002253,오동작/계기불량/작동불량,노후/장기사용,철거/전지작업,12152,792,F
경기지역본부,석수GS,000000000013002253,,,,71448,,C
경기지역본부,평택GS,000000000013002254,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,26800,184,F
경기지역본부,평택GS,000000000013002254,전송/통신 불량,설계/설치불량/연약지반 ,직접입력,36683,167,F
경기지역본부,평택GS,000000000013002254,,,,8952,,C
경기지역본부,평택GS,000000000013002255,외부 LEAK,노후/장기사용,분해점검,595,109,F
경기지역본부,평택GS,000000000013002255,,,,58800,,C
경기지역본부,평택GS,000000000013002257,,,,76968,,C
경기지역본부,오산GS,000000000013002259,,,,43320,,C
경기지역본부,오산GS,000000000013002260,외부 LEAK,부품/자재 불량,부품/자재 교체,154,1,F
경기지역본부,오산GS,000000000013002260,,,,73608,,C
경기지역본부,분당GS,000000000013002271,,,,56808,,C
경기지역본부,분당GS,000000000013002272,,,,56808,,C
경기지역본부,분당GS,000000000013002275,,,,76224,,C
경기지역본부,분당GS,000000000013002276,,,,76224,,C
경기지역본부,분당GS,000000000013002277,,,,76224,,C
경기지역본부,평촌GS,000000000013002280,외부 LEAK,부품/자재 불량,부품/자재 교체,10258,47,F
경기지역본부,평촌GS,000000000013002280,고착 (Stick),온도변화/열팽창 ,분해점검,25073,2,F
경기지역본부,평촌GS,000000000013002280,이물질/오염,이물질 ,분해점검,39203,196,F
경기지역본부,평촌GS,000000000013002280,,,,17448,,C
경기지역본부,평촌GS,000000000013002281,,,,80688,,C
경기지역본부,평촌GS,000000000013002282,,,,91344,,C
경기지역본부,평촌GS,000000000013002285,외부 LEAK,노후/장기사용,,14865,23,F
경기지역본부,평촌GS,000000000013002285,이물질/오염,이물질 ,청소/윤활/코팅 작업,46265,861,F
경기지역본부,평촌GS,000000000013002285,,,,16392,,C
경기지역본부,평촌GS,000000000013002286,,,,90840,,C
경기지역본부,평촌GS,000000000013002287,,,,48792,,C
인천지역본부,남동GS,000000000013002289,,,,10200,,C
인천지역본부,남동GS,000000000013002290,,,,30528,,C
인천지역본부,남동GS,000000000013002294,,,,30048,,C
인천지역본부,남동GS,000000000013002296,,,,12720,,C
인천지역본부,남동GS,000000000013002297,,,,21456,,C
인천지역본부,남동GS,000000000013002299,,,,26328,,C
인천지역본부,경서GS,000000000013002305,,,,5424,,C
인천지역본부,경서GS,000000000013002307,,,,36240,,C
인천지역본부,영종GS,000000000013002315,전송/통신 불량,설정값불량/점검불량,교정/조정/재설정 작업,11842,2282,F
인천지역본부,영종GS,000000000013002315,,,,30696,,C
인천지역본부,영종GS,000000000013002325,,,,36096,,C
경기지역본부,동탄GS,000000000013002332,,,,65448,,C
경기지역본부,동탄GS,000000000013002333,,,,69936,,C
경기지역본부,동탄GS,000000000013002334,,,,68520,,C
