플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그
평택기지본부,1공장 SMV,000000000012113986,,,,55488,,C
평택기지본부,1공장 SMV,000000000012113992,,,,92112,,C
평택기지본부,2공장 SMV,000000000012113993,,,,76224,,C
인천기지본부,1공장 SMV,000000000012216005,,,,98177,,C
인천기지본부,2공장 SMV,000000000012216020,,,,91872,,C
인천기지본부,1공장 SMV,000000000012216028,오동작/계기불량/작동불량,직접입력,직접입력,10358,889,F
인천기지본부,1공장 SMV,000000000012216028,,,,7560,,C
인천기지본부,1공장 SMV,000000000012216029,,,,65736,,C
인천기지본부,1공장 SMV,000000000012216030,,,,19056,,C
인천기지본부,1공장 SMV,000000000012216033,,,,20880,,C
인천기지본부,2공장 SMV,000000000012216037,,,,71472,,C
인천기지본부,2공장 SMV,000000000012216041,,,,10128,,C
인천기지본부,2공장 SMV,000000000012216043,,,,19032,,C
인천기지본부,2공장 SMV,000000000012216044,직접입력,이물질 ,직접입력,65215,,F
인천기지본부,2공장 SMV,000000000012216044,,,,24072,,C
인천기지본부,2공장 SMV,000000000012216045,진동/소음,노후/장기사용,부품/자재 교체,10881,5207,F
인천기지본부,2공장 SMV,000000000012216045,,,,9408,,C
인천기지본부,2공장 SMV,000000000012216049,,,,17280,,C
인천기지본부,2공장 SMV,000000000012216050,,,,91872,,C
평택기지본부,1공장 SMV,000000000014010253,정지(Trip)/기동불량/전원불량,직접입력,직접입력,10231,98,F
평택기지본부,1공장 SMV,000000000014010253,,,,54144,,C
평택기지본부,1공장 SMV,000000000014010254,,,,81432,,C
평택기지본부,1공장 SMV,000000000014010256,,,,28200,,C
평택기지본부,2공장 SMV,000000000014051930,,,,47304,,C
평택기지본부,2공장 SMV,000000000014051935,,,,47304,,C
삼척기지본부,1공장 SMV,000000000014052615,,,,52416,,C
삼척기지본부,1공장 SMV,000000000014052616,,,,52416,,C
삼척기지본부,1공장 SMV,000000000014052617,,,,52416,,C
삼척기지본부,1공장 SMV,000000000014052618,,,,52416,,C
삼척기지본부,1공장 SMV,000000000014052621,,,,52416,,C
삼척기지본부,1공장 SMV,000000000014052622,,,,52416,,C
삼척기지본부,1공장 SMV,000000000014052658,,,,52416,,C
삼척기지본부,1공장 SMV,000000000014052659,직접입력,직접입력,직접입력,43619,842,F
삼척기지본부,1공장 SMV,000000000014052659,,,,7896,,C
삼척기지본부,1공장 SMV,000000000014052660,,,,52416,,C
삼척기지본부,1공장 SMV,000000000014052661,,,,52416,,C
평택기지본부,2공장 SMV,000000000022100863,,,,84864,,C
평택기지본부,2공장 SMV,000000000022100868,,,,91224,,C
평택기지본부,2공장 SMV,000000000022100869,,,,97756,,C
평택기지본부,2공장 SMV,000000000022100872,,,,24336,,C
인천기지본부,1공장 SMV,000000000022202874,내부 LEAK,이완/밀봉/고정 불량,직접입력,32675,263,F
인천기지본부,1공장 SMV,000000000022202874,,,,20904,,C
인천기지본부,1공장 SMV,000000000022202878,,,,91872,,C
인천기지본부,2공장 SMV,000000000022202890,,,,62112,,C
인천기지본부,2공장 SMV,000000000022202894,오동작/계기불량/작동불량,직접입력,직접입력,25328,,F
인천기지본부,2공장 SMV,000000000022202894,,,,64056,,C
인천기지본부,2공장 SMV,000000000022202900,,,,90144,,C
인천기지본부,2공장 SMV,000000000022202910,과열/발열/열화/과부하 ,설계/설치불량/연약지반 ,보강/개조/추가설치,207,115,F
인천기지본부,2공장 SMV,000000000022202910,,,,89880,,C
제주기지본부,1공장 SMV,000000000024017862,,,,4704,,C
인천기지본부,1공장 SMV,000000000034029833,,,,34992,,C
