플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그
평택기지본부,2공장 SMV,000000000032102570,,,,80928,*,C
평택기지본부,2공장 SMV,000000000032102732,,,,20112,*,C
평택기지본부,1공장 SMV,000000000032102837,,,,82536,*,C
인천기지본부,1공장 염소처리설비,000000000032209724,,,,57264,*,C
인천기지본부,공통 부취설비,000000000032209796,점화/연소불량,절연/접지 불량,부품/자재 교체,24302,240,F
인천기지본부,공통 부취설비,000000000032209796,,,,70608,*,C
통영기지본부,1부두,000000000032302117,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,75561,99,F
통영기지본부,1부두,000000000032302117,균열/파손/소손/절단,직접입력,직접입력,4220,228,F
통영기지본부,1부두,000000000032302117,,,,10248,*,C
평택기지본부,1부두,000000000034005319,전송/통신 불량,조작/운전 실수,교정/조정/재설정 작업,36,165,F
평택기지본부,1부두,000000000034005319,전송/통신 불량,이완/밀봉/고정 불량,교정/조정/재설정 작업,583,126,F
평택기지본부,1부두,000000000034005319,균열/파손/소손/절단,노후/장기사용,부품/자재 교체,26652,483,F
평택기지본부,1부두,000000000034005319,,,,8850,*,F
평택기지본부,1부두,000000000034005319,오동작/계기불량/작동불량,직접입력,재설치 ,30850,430,F
평택기지본부,1부두,000000000034005319,정지(Trip)/기동불량/전원불량,단선/단락/오결선 ,교정/조정/재설정 작업,4094,214,F
평택기지본부,1부두,000000000034005319,,,,15960,*,C
인천기지본부,2공장 SMV,000000000034009084,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,5565,139,F
인천기지본부,2공장 SMV,000000000034009084,,,,80256,*,C
인천기지본부,2공장 SMV,000000000034009085,,,,86136,*,C
인천기지본부,2공장 SMV,000000000034009130,,,,86136,*,C
인천기지본부,2공장 SMV,000000000034009131,,,,86136,*,C
인천기지본부,2공장 SMV,000000000034009173,,,,86136,*,C
인천기지본부,2공장 SMV,000000000034009174,,,,86136,*,C
인천기지본부,2공장 SMV,000000000034009219,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,21302,2,F
인천기지본부,2공장 SMV,000000000034009219,,,,64680,*,C
인천기지본부,2공장 SMV,000000000034009220,,,,86136,*,C
인천기지본부,공통 부취설비,000000000034009441,,,,86136,*,C
인천기지본부,공통 부취설비,000000000034009442,,,,86136,*,C
제주기지본부,공통 MP 압축기,000000000034031214,,,,4776,*,C
제주기지본부,공통 MP 압축기,000000000034031391,,,,4776,*,C
