플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_24,Column_25,Column_26-T,Column_27,Column_28
평택기지본부,1공장 2차펌프,000000000012101167,,,,63984,*,C,1000,0.9987509043758507,0.9984891728197071,0.9989673177243784,0.0012490956241493212,0.001032682275621588,0.0015108271802929396,800079.1154538323,661388.9457930636,967851.9652574759,0.0000012483151791924045,0.0000012498763943272861,결빙(Icing),0.9803921568627451,0.00000001225369014046359,1,C,92.97548045062956,1403
평택기지본부,공통 감압설비,000000000012101169,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,6690,162,F,5000,0.9937701048013166,0.9924686556261432,0.99484724194154,0.006229895198683444,0.00515275805846005,0.00753134437385683,,,,0.0000012420897953793188,0.0000012498763943272861,경보(Alarm)/차압발생,1.9607843137254901,0.00000002450738028092718,2,F,7.024519549370444,106
평택기지본부,공통 감압설비,000000000012101169,외부 LEAK,부품/자재 불량,부품/자재 교체,22023,2057,F,10000,0.9875790211968197,0.984994032400364,0.989721034798689,0.012420978803180271,0.010278965201310997,0.015005967599636016,,,,0.0000012343517061267516,0.0000012498763943272863,고착 (Stick),4.901960784313726,0.00000006126845070231796,5,,,
평택기지본부,공통 감압설비,000000000012101169,,,,69648,*,C,50000,0.939418868670596,0.9271884151076747,0.949650940492761,0.060581131329404014,0.050349059507239,0.07281158489232531,,,,0.000001174157468337023,0.0000012498763943272863,균열/파손/소손/절단,2.9411764705882355,0.00000003676107042139077,3,,,
평택기지본부,공통 감압설비,000000000012101170,외부 LEAK,노후/장기사용,부품/자재 교체,6854,378,F,100000,0.8825078108143425,0.8596783571098817,0.9018369087787854,0.11749218918565751,0.09816309122121458,0.14032164289011828,,,,0.0000011030256805462971,0.0000012498763943272861,내부 LEAK,9.803921568627452,0.00000012253690140463592,10,,,
평택기지본부,공통 감압설비,000000000012101170,,,,14808,*,C,,,,,,,,,,,,,변형/변색/부식 ,0.9803921568627451,0.00000001225369014046359,1,,,
평택기지본부,2공장 2차펌프,000000000012101527,,,,81840,*,C,,,,,,,,,,,,,오동작/계기불량/작동불량,52.94117647058823,0.0000006616992675850337,54,,,
평택기지본부,공통 소각설비,000000000012101545,,,,63048,*,C,,,,,,,,,,,,,외부 LEAK,12.745098039215685,0.00000015929797182602664,13,,,
평택기지본부,2공장 SMV,000000000012102064,,,,66072,*,C,,,,,,,,,,,,,이완/풀림/탈락,4.901960784313726,0.00000006126845070231796,5,,,
평택기지본부,공통 계량설비,000000000012105139,외부 LEAK,H/W 오류,분해점검,2462,6162,F,,,,,,,,,,,,,전송/통신 불량,2.9411764705882355,0.00000003676107042139077,3,,,
평택기지본부,공통 계량설비,000000000012105139,,,,35880,*,C,,,,,,,,,,,,,정지(Trip)/기동불량/전원불량,1.9607843137254901,0.00000002450738028092718,2,,,
평택기지본부,공통 계량설비,000000000012105141,,,,93768,*,C,,,,,,,,,,,,,직접입력,1.9607843137254901,0.00000002450738028092718,2,,,
평택기지본부,공통 계량설비,000000000012105196,,,,96633,*,C,,,,,,,,,,,,,진동/소음,0.9803921568627451,0.00000001225369014046359,1,,,
평택기지본부,공통 계량설비,000000000012105535,,,,13752,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012105540,,,,97836,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012105547,,,,68496,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 소각설비,000000000012106848,,,,53808,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000012106874,,,,84984,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000012106913,,,,48312,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000012106920,오동작/계기불량/작동불량,직접입력,직접입력,782,407,F,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000012106920,,,,81912,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012106931,균열/파손/소손/절단,외부충격/동식물 ,재설치 ,741,*,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012106931,전송/통신 불량,부품/자재 불량,부품/자재 교체,36805,283,F,,,,,,,,,,,,,,,,,,,
