플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_24,Column_25,Column_26-T,Column_27,Column_28
평택기지본부,공통 계량설비,000000000012106931,,,,59040,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012106958,오동작/계기불량/작동불량,직접입력,직접입력,78857,3870,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012106958,오동작/계기불량/작동불량,이완/밀봉/고정 불량,밀봉/조임 작업,10351,414,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012106958,,,,3216,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012106960,외부 LEAK,노후/장기사용,부품/자재 교체,82455,282,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012106960,,,,4680,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106970,고착 (Stick),장기미사용 ,교정/조정/재설정 작업,61837,140,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106970,,,,24144,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106971,오동작/계기불량/작동불량,이완/밀봉/고정 불량,교정/조정/재설정 작업,26161,4910,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106971,,,,69072,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106972,오동작/계기불량/작동불량,이물질 ,직접입력,4463,1818,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106972,오동작/계기불량/작동불량,직접입력,직접입력,10401,341,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106972,오동작/계기불량/작동불량,노후/장기사용,보강/개조/추가설치,17343,1603,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106972,고착 (Stick),,,9694,*,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106972,오동작/계기불량/작동불량,부품/자재 불량,분해점검,707,437,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106972,,,,33192,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106973,오동작/계기불량/작동불량,직접입력,교정/조정/재설정 작업,10363,830,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106973,오동작/계기불량/작동불량,직접입력,직접입력,1367,2193,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106973,이완/풀림/탈락,노후/장기사용,밀봉/조임 작업,39008,20,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106973,오동작/계기불량/작동불량,장기미사용 ,교정/조정/재설정 작업,8869,308,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106973,,,,24144,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106975,,,,69984,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106976,,,,66072,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106981,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,69546,399,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106981,,,,23712,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106982,외부 LEAK,직접입력,직접입력,21158,122,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106982,,,,70272,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106983,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,34670,98,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 감압설비,000000000012106983,,,,46560,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2부두,000000000012107572,,,,30672,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2부두,000000000012107573,균열/파손/소손/절단,이완/밀봉/고정 불량,부품/자재 교체,8125,523,F,,,,,,,,,,,,,,,,,,,
평택기지본부,2부두,000000000012107573,,,,39000,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012107585,,,,96592,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012107586,,,,90192,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 BOG 압축기,000000000012108497,,,,13752,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012109092,,,,92376,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 방산설비,000000000012109220,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,32678,866,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 방산설비,000000000012109220,,,,12288,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000012109407,,,,94872,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 소각설비,000000000012110070,,,,98052,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012110374,,,,98765,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012110375,,,,38472,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012110395,,,,69000,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 SMV,000000000012110449,,,,93912,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012110477,,,,33288,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012110484,,,,20640,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012110489,,,,92880,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2부두,000000000012111575,,,,88848,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 1차펌프,000000000012111606,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,27278,359,F,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 1차펌프,000000000012111606,,,,56592,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012111689,오동작/계기불량/작동불량,이완/밀봉/고정 불량,교정/조정/재설정 작업,15592,260,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012111689,정지(Trip)/기동불량/전원불량,부품/자재 불량,충진/보충/배출 작업,7039,193,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012111689,고착 (Stick),이물질 ,청소/윤활/코팅 작업,24103,608,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012111689,외부 LEAK,부품/자재 불량,직접입력,18086,74,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012111689,,,,5208,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012114006,내부 LEAK,직접입력,청소/윤활/코팅 작업,16638,18,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012114006,내부 LEAK,이완/밀봉/고정 불량,분해점검,35031,282,F,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012114006,,,,46632,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,저장부문 10탱크,000000000012114045,,,,11880,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 BOG 압축기,000000000012114171,,,,77040,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012114375,,,,51720,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012114376,,,,97863,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012114398,,,,97400,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012114400,내부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,7787,27,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000012114400,,,,86976,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000012114819,,,,23616,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,저장부문 14탱크,000000000012121265,오동작/계기불량/작동불량,장기미사용 ,분해점검,7547,219,F,,,,,,,,,,,,,,,,,,,
평택기지본부,저장부문 14탱크,000000000012121265,,,,86352,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,저장부문 12탱크,000000000012201797,,,,63768,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 ORV,000000000012207307,,,,68184,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 ORV,000000000012207341,,,,68184,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 ORV,000000000012207343,,,,31368,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 ORV,000000000012207363,,,,94536,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 ORV,000000000012207388,,,,83328,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 ORV,000000000012207413,,,,78768,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 ORV,000000000012207422,,,,41784,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 ORV,000000000012207442,,,,87888,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 ORV,000000000012207456,,,,7584,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 ORV,000000000012207476,,,,98654,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 ORV,000000000012207477,,,,88224,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 ORV,000000000012207504,,,,79320,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 ORV,000000000012207514,,,,88344,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012207545,,,,82680,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012207551,,,,65328,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 SMV,000000000012207647,,,,15384,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 SMV,000000000012207663,,,,80544,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 SMV,000000000012207695,,,,21192,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 SMV,000000000012207725,,,,69264,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 SMV,000000000012207764,,,,84000,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 SMV,000000000012207768,외부 LEAK,노후/장기사용,부품/자재 교체,20029,277,F,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 SMV,000000000012207768,,,,78744,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012207817,,,,9936,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012207821,,,,7584,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012207822,,,,97884,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012207890,,,,53424,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012207906,,,,99496,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012207907,,,,13080,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012207936,,,,11016,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012207946,,,,61992,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012207995,,,,78096,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012208205,,,,78984,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012208206,,,,79536,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012208263,,,,94704,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 방산설비,000000000012208613,,,,91392,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012208625,,,,67392,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012208636,,,,91248,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012208648,,,,82104,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012208659,,,,66384,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012208664,,,,73896,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 ORV,000000000012213038,,,,92448,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 SMV,000000000012213060,,,,78552,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012213070,,,,15048,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 Drain 설비,000000000012214374,,,,57816,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012214408,오동작/계기불량/작동불량,H/W 오류,,4666,197,F,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012214408,오동작/계기불량/작동불량,직접입력,교정/조정/재설정 작업,8870,194,F,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012214408,,,,52080,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,공통 계량설비,000000000012214410,,,,21912,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000012214455,,,,13872,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000012214491,내부 LEAK,직접입력,교정/조정/재설정 작업,26610,*,F,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000012214491,,,,63192,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012214862,,,,97884,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012214863,,,,53736,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012214864,,,,19080,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012214869,,,,92784,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012214871,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,89039,377,F,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012214871,,,,7584,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012214878,,,,79536,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 재액화설비,000000000012215051,경보(Alarm)/차압발생,부품/자재 불량,부품/자재 교체,22506,*,F,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 재액화설비,000000000012215051,,,,19272,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 BOG 압축기,000000000012215147,,,,21264,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 BOG 압축기,000000000012215176,,,,21264,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 BOG 압축기,000000000012215192,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,884,329,F,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 BOG 압축기,000000000012215192,,,,94056,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1부두,000000000012215199,이완/풀림/탈락,노후/장기사용,보강/개조/추가설치,66247,*,F,,,,,,,,,,,,,,,,,,,
인천기지본부,1부두,000000000012215199,,,,30864,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000012215331,,,,55776,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002874,,,,90336,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002890,,,,47856,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002907,,,,47856,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002908,,,,47856,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002915,,,,47856,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002948,,,,24048,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002971,,,,50280,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002975,,,,50280,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002976,,,,50280,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002977,,,,50280,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002978,,,,50280,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,공통 계량설비,000000000014002979,,,,50280,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003417,,,,26568,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003818,,,,82752,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003823,내부 LEAK,설정값불량/점검불량,교정/조정/재설정 작업,72452,236,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003823,,,,11208,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003828,,,,35784,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003829,,,,85488,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003831,,,,59496,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003832,오동작/계기불량/작동불량,외부충격/동식물 ,재설치 ,74755,186,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003832,,,,12360,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003833,오동작/계기불량/작동불량,외부충격/동식물 ,교정/조정/재설정 작업,57970,118,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003833,,,,36144,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,저장부문 4탱크,000000000014008192,,,,48024,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,1공장 재액화설비,000000000014008317,,,,15048,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 SMV,000000000014008381,,,,53400,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 SMV,000000000014010319,,,,84192,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 SMV,000000000014010364,,,,90792,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 재액화설비,000000000014011047,,,,15888,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 BOG 압축기,000000000014011286,,,,81336,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 BOG 압축기,000000000014011288,,,,11736,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 BOG 압축기,000000000014011434,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,17791,889,F,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 BOG 압축기,000000000014011434,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,2830,730,F,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 BOG 압축기,000000000014011434,,,,37320,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 BOG 압축기,000000000014011435,전송/통신 불량,이완/밀봉/고정 불량,밀봉/조임 작업,28597,360,F,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 BOG 압축기,000000000014011435,,,,61824,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1부두,000000000014012267,오동작/계기불량/작동불량,노후/장기사용,보강/개조/추가설치,49030,180,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1부두,000000000014012267,,,,17664,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1부두,000000000014012289,오동작/계기불량/작동불량,노후/장기사용,분해점검,2325,161,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1부두,000000000014012289,,,,82152,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1부두,000000000014012290,내부 LEAK,이완/밀봉/고정 불량,분해점검,15470,3337,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1부두,000000000014012290,,,,67512,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1부두,000000000014012291,,,,82608,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1부두,000000000014012336,오동작/계기불량/작동불량,노후/장기사용,교정/조정/재설정 작업,3872,481,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1부두,000000000014012336,,,,87096,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012436,,,,86160,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012443,,,,44472,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012445,,,,27240,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012463,직접입력,노후/장기사용,청소/윤활/코팅 작업,11532,1827,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012463,,,,22776,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012465,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,28594,1342,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012465,,,,22632,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012479,,,,86952,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012480,,,,79320,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012494,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,41557,787,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012494,,,,26160,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 ORV,000000000014012495,,,,76968,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,저장부문 6탱크,000000000014012981,,,,77352,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,저장부문 7탱크,000000000014012984,,,,18144,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,저장부문 8탱크,000000000014012986,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,7548,1916,F,,,,,,,,,,,,,,,,,,,
평택기지본부,저장부문 8탱크,000000000014012986,,,,77040,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,저장부문 8탱크,000000000014012987,,,,79296,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,저장부문 9탱크,000000000014012988,,,,84336,*,C,,,,,,,,,,,,,,,,,,,
