플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
평택기지본부,1공장 SMV,000000000012113986,,,,55560,,C,1000,*,0.9902729745632839,*,*,*,0.009727025436716108,*,102305.53734910593,*,0.000009679563787286411,0.000009774641978445544
평택기지본부,1공장 SMV,000000000012113992,,,,92184,,C,5000,*,0.9523018645003856,*,*,*,0.047698135499614436,,,,0.00000930840978089743,0.000009774641978445545
평택기지본부,2공장 SMV,000000000012113993,,,,76296,,C,10000,*,0.9068788411309107,*,*,*,0.09312115886908934,,,,0.000008864415989882249,0.000009774641978445547
평택기지본부,2공장 SMV,000000000014051935,,,,47376,,C,50000,*,0.6134036364788923,*,*,*,0.3865963635211077,,,,0.000005995800934857733,0.000009774641978445547
인천기지본부,1공장 SMV,000000000034029833,,,,35064,,C,100000,*,0.37626402124552905,*,*,*,0.623735978754471,,,,0.000003677846097045277,0.00000977464197844555
