플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_25
인천기지본부,2공장 SMV,000000000014066778,,,,12264,*,C,1000,0.9988791413659674,0.9986430361321479,0.9990741844605282,0.001120858634032551,0.0009258155394717648,0.0013569638678521123,891673.0759657582,736439.184705579,1079628.6929247282,0.0000011202302371685902,0.0000011214872658534798,C,94.69160768452983,1873
인천기지본부,2공장 SMV,000000000014066779,,,,12264,*,C,5000,0.9944082559968851,0.9932335692006071,0.9953794857149615,0.005591744003114907,0.004620514285038513,0.006766430799392875,,,,0.0000011152161961600738,0.0000011214872658534798,F,5.308392315470172,105
통영기지본부,2공장 기화해수펌프,000000000024010707,,,,47304,*,C,10000,0.9888477795947666,0.9865129229869773,0.9907803205821814,0.011152220405233448,0.00921967941781865,0.013487077013022652,,,,0.000001108980192683019,0.0000011214872658534798,,,
평택기지본부,1공장 2차펌프,000000000032100067,,,,76584,*,C,50000,0.9454688251012027,0.934359259231311,0.9547438269001363,0.05453117489879733,0.04525617309986374,0.06564074076868898,,,,0.0000010603312476124495,0.0000011214872658534796,,,
평택기지본부,1공장 2차펌프,000000000032100079,,,,72336,*,C,100000,0.8939112992382485,0.8730272253112842,0.9115357750039174,0.10608870076175148,0.08846422499608264,0.12697277468871582,,,,0.000001002510138898235,0.0000011214872658534798,,,
평택기지본부,1공장 2차펌프,000000000032100084,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,21360,59,F,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100084,오동작/계기불량/작동불량,부품/자재 불량,교정/조정/재설정 작업,6415,296,F,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100084,오동작/계기불량/작동불량,직접입력,직접입력,45452,379,F,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100084,,,,20040,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100085,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100086,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100087,오동작/계기불량/작동불량,노후/장기사용,교정/조정/재설정 작업,33883,213,F,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100087,,,,59832,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100088,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100089,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100090,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100091,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100092,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100093,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100094,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100095,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100096,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100097,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100098,,,,94032,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100120,,,,87072,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100130,,,,71208,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100131,,,,19416,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100135,,,,52632,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000032100140,외부 LEAK,이완/밀봉/고정 불량,재설치 ,2360,195,F,,,,,,,,,,,,,,,
